Iterations	Ratio	Time
1	0.0	22.36
501	0.252174	6495.26
1001	0.313043	12872.5
1501	0.313043	19652.5
2001	0.382609	26252.9
2501	0.391304	32423.3
3001	0.452174	38820.9
3501	0.434783	45739.6
4001	0.426087	52088.6
4501	0.486956	58472.5
5001	0.478261	66894.7
5501	0.504348	70943.5
6001	0.565217	78344.6
6501	0.478261	84188.1
7001	0.547826	90135.9
7501	0.521739	99081.7
8001	0.547826	107367.0
8501	0.556522	113689.0
9001	0.573913	119882.0
9501	0.617391	131129.0
10001	0.608696	139415.0
