Iterations	Ratio	Time
1	0.0	12.26
1001	0.265625	1168.24
2001	0.390625	2314.14
3001	0.40625	3570.87
4001	0.515625	4631.98
5001	0.328125	5762.28
6001	0.453125	6920.73
7001	0.34375	8093.19
8001	0.390625	9236.14
9001	0.4375	10383.1
10001	0.453125	12441.3
11001	0.46875	13792.9
12001	0.421875	14930.2
13001	0.5	15378.0
14001	0.5	18272.4
15001	0.5	17782.5
16001	0.53125	18869.1
17001	0.484375	19670.9
18001	0.5	20886.3
19001	0.53125	21967.2
20001	0.46875	24146.6
