Iterations	Ratio	Time
1	0.0	4.09
1001	0.328125	1192.03
2001	0.390625	2369.57
3001	0.359375	3497.9
4001	0.4375	4743.4
5001	0.515625	5949.54
6001	0.515625	7092.63
7001	0.453125	8567.68
8001	0.40625	9673.55
9001	0.453125	10774.1
10001	0.40625	11954.0
11001	0.4375	13241.8
12001	0.5	14215.5
13001	0.578125	15732.6
14001	0.625	16313.8
15001	0.515625	17923.3
16001	0.53125	19102.8
17001	0.546875	20629.3
18001	0.484375	21725.2
19001	0.390625	22347.6
20001	0.53125	23243.1
