Iterations	Ratio	Time
1	0.125	31
501	0.451389	16325
1001	0.458333	31319
1501	0.486111	43774
2001	0.5625	57853
2501	0.5625	75935
3001	0.5625	94709
3501	0.569444	108007
4001	0.625	135493
4501	0.590278	151857
5001	0.625	169946
5501	0.548611	190272
6001	0.645833	204501
6501	0.611111	221463
7001	0.583333	229202
7501	0.638889	245274
8001	0.604167	250689
8501	0.590278	271352
9001	0.604167	286026
9501	0.659722	310788
10001	0.638889	324354
10501	0.659722	325774
